cargo,empresa,ubicacion,salario,nivel_educativo,experiencia,tipo_contrato,codigo_cuoc,ocupacion_cuoc,grupo_cuoc
"bachilleres Convocatoria de empleo presencial Gate Gourmet tiene puestos de trabajo disponibles para: Auxiliares de cocina y producción (HORECA) Auxiliares de bodega Auxiliares de planta Requisitos: 6 meses de experiencia Fecha: Martes, 23 de septiembre de 2025 Hora: 9:00 a",,Chapinero,,Bachiller,,,,,
hay disponibles y cómo aplicar Todos los detalles te los contamos a ti primero en este link:,,Bogotá,,,,,,,
,,Bosa,,,,,,,
activas en el sector,,Bogotá,,,,,33551.008,Inspector detective,
bachilleres Lum Logistics S,Vacante para bachilleres Lum Logistics S.A.S,,,Bachiller,No requiere,Indefinido,,,
,,,,,,,,,
"bachilleres Convocatoria de empleo presencial Gate Gourmet tiene 8 0 puestos de trabajo disponibles para: Auxiliares de cocina y producción (HORECA) Auxiliares de bodega Auxiliares de planta Requisitos : 6 meses de experiencia Fecha: Martes, 23 de septiembre de 2025 Hora: 9:00 a",,Chapinero,,Bachiller,,,,,
,,Bosa,,,,,,,
activas en el sector,,Bogotá,,,,,33551.008,Inspector detective,
bachilleres Lum Logistics S,Vacante para bachilleres Lum Logistics S.A.S,,,Bachiller,No requiere,Indefinido,,,
,,,,,,,,,
,,Suba,,Bachiller,No requiere,,,,
"como: Auxiliares de operaciones Asesores call center Conductores C2 y C3 Mercaderistas y vendedores TAT con moto Operadores de parqueadero, cajeros y agentes de operaciones terrestres Enfermeros y auxiliares de enfermería y muchos más perfiles Lugar: Plazoleta, entrada N 1 Centro Comercial Plaza Imperial (Av",,Suba,,,,,,,
,,Bogotá,,,,,,,
,,Bogotá,,,,,,,
como: Auxiliares de operaciones Conductores C2 y C3 Call center ventas Mercaderistas y vendedores TAT con moto Enfermeros y auxiliares de enfermería y muchos más Centro Comercial Plaza Imperial Entrada 1 Del 30 de septiembre al 4 de octubre Lunes a viernes: 8 a,,Suba,,,,,,,
bachilleres Esta convocatoria de empleo presencial es para ti,,Cali,,Bachiller,No requiere,Indefinido,,,
"como: Auxiliares de operaciones Asesores call center Conductores C2 y C3 Mercaderistas y vendedores TAT con moto Operadores de parqueadero, cajeros y agentes de operaciones terrestres Enfermeros y auxiliares de enfermería y muchos más perfiles Lugar: Plazoleta, entrada N 1 Centro Comercial Plaza Imperial (Av",,Suba,,,,,,,
,,,,,,,,,
,,Bogotá,,,,,,,
,,Bogotá,,Profesional,,,,,
profesionales Soluciones Tecnología y Servicios S,Servicios S.A,,$8.000.000,Profesional,,Indefinido,341.0,"Técnicos y profesionales del nivel medio de servicios jurídicos, sociales y religiosos",
bachilleres Consorcio Express S,Vacantes para bachilleres Consorcio Express S.A.S,,$2.109.440,Bachiller,,Indefinido,,,
profesionales Subred Integrada de Servicios de Salud Norte E,,,$3.906.000,Profesional,No requiere,,32.0,TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD,
"técnicos, tecnólogos o profesionales Baguer S",Baguer S.A.S,,$2.972.000,Técnico,No requiere,,32112.0,Técnicos y tecnólogos en radioterapia,
profesionales Soluciones Tecnología y Servicios S,Servicios S.A,,$8.000.000,Profesional,,Indefinido,341.0,"Técnicos y profesionales del nivel medio de servicios jurídicos, sociales y religiosos",
bachilleres Consorcio Express S,Vacantes para bachilleres Consorcio Express S.A.S,,$2.109.440,Bachiller,,Indefinido,,,
profesionales Subred Integrada de Servicios de Salud Norte E,,,$3.906.000,Profesional,No requiere,,32.0,TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LA SALUD,
"técnicos, tecnólogos o profesionales Baguer S",Baguer S.A.S,,$2.972.000,Técnico,No requiere,,32112.0,Técnicos y tecnólogos en radioterapia,
"disponibles para: Asistentes de Ventas Auxiliares de Bodega - Conductor Auxiliares de Bodega Tipo de contrato - indefinido Con o Sin Experiencia requerida Formación: Bachiller Funciones Apoyo en el proceso de venta, Atención al publico, manejo de caja, surtir alimentos y mercancía, organizar punto de la tienda",,Fontibón,,Bachiller,No requiere,Indefinido,,,
Asesor Call Center,,,,Bachiller,No requiere,Indefinido,42220.004,Asesor call center,
"Asesor Call Center, bilingüe 20 puestos de trabajo disponibles",,,,Profesional,No requiere,Indefinido,,,
,,,,Profesional,,,,,
,,,,,,,,,
"esta semana, tres ferias laborales y nuestro bus del empleo en La Candelaria Más del 60% de la oferta está dirigida a bachilleres, el nivel educativo con mayor demanda en esta convocatoria",,,,Bachiller,,,,,
,,,,,,,,,
bachilleres y profesionales,,,$1.975.692,Bachiller,No requiere,,26531.002,Bailarín profesional,
,,,,,,,,,
,,Bogotá,,Técnico,,,,,
laborales y mucho más,,Bogotá,,,,,,,
técnicos/ tecnólogos Subred Integrada de Servicios de Salud Norte E,,,,Técnico,,,35121.038,Técnico de soporte en tecnología de la información,
bachilleres y profesionales,,,$1.975.692,Bachiller,No requiere,,26531.002,Bailarín profesional,
bachilleres Esta convocatoria de empleo presencial es para ti,Eficacia S.A.S,Kennedy,,Bachiller,,,,,
,,,,,,,,,
,,,,,,,,,
bachilleres Esta convocatoria de empleo presencial es para ti,Eficacia S.A.S,Kennedy,,Bachiller,,,,,
